"","LATID","GATENUM","FLOWERROR","hsd","tsd","gsd"
"1016"," 41-1c",13,0.698908568887898,2.62153806240475,31.1406443515878,2.4401298520918
"1017"," 41-1c",14,0.712273421391863,3.02047674102739,27.313198612793,2.72635266141663
"1018"," 41-1c",15,1.05523108549913,2.2378698874469,27.9395505275576,2.69324082576783
"1019"," 41-1c",16,0.707304498223296,2.98187197792996,26.8533904163856,2.21319794536235
"1020"," 41-1c",17,0.759542738549783,2.62340022567709,28.5272980606208,2.89188169507818
"1021"," 41-1c",18,0.678879091427584,2.60973717918327,28.2827906184422,2.42977619153823
"1022"," 41-1c",19,0.983979529434557,1.69393781440531,30.5522176589544,2.96101644981123
"1023"," 41-1c",20,0.879430244427375,2.66381986468916,27.2638410728944,2.34045599265423
"1024"," 41-1c",21,0.711468291093622,2.4240748376733,27.5380097045945,3.21028848421743
"1025"," 41-1c",22,0.898306145052595,2.87388584508486,28.7470161322494,2.9254001809696
"1026"," 41-1c-1",9,0.55004443371239,2.61985676542201,30.1387960738853,2.55417175345706
"1027"," 41-1c-1",10,0.908144234718077,2.81288572638081,27.3905732541878,2.80104459161775
"1028"," 41-1f",13,0.621058055931988,2.99220350437077,29.3830088664078,2.68245626363228
"1029"," 41-1f",14,0.607783113745986,2.99480774400067,28.9591640188214,2.22238032854827
"1030"," 41-1f",15,0.822384917086337,2.44516245574143,28.2075703896357,2.64194488233533
"1031"," 41-1g",14,0.901908725074621,2.92196093357632,29.6003191688722,2.88047167187363
"1032"," 41-1g",15,0.792024889774903,2.72747438634674,30.5695371760718,2.58637560156507
"1033"," 41-1k",22,0.583299990881835,3.17754903253711,31.6605664063176,2.43865063479742
"1034"," 41-1k",23,0.751316981338798,3.01087678021705,27.1529428351471,2.96094071904403
"1035"," 41-1n",26,0.811661937509877,3.04458128617533,30.6882750765704,2.832194472886
"1036"," 41-1n",27,0.9278912694956,2.46934387999186,28.9334245496231,3.07512058909469
"1037"," 41-1n",28,0.798747651898022,3.56869124132578,29.3930298426505,2.58626096766675
"1038"," 41-1n",29,0.83490343244609,3.89845296021409,32.0053756501934,2.44363038975786
"1039"," 41-1n",30,1.02718957562501,2.85142618342083,27.9626342063703,2.74347304531655
"1040"," 41-1n",31,0.783292461079948,3.30647537085761,27.572516317008,2.08731901445974
"1041"," 41-1n",32,0.707456666585149,2.84091212847456,28.1113806048917,2.47926663167124
"1042"," 41-1n",33,1.26990694820122,3.31378170480677,29.6486036219464,2.68878033054786
"1043"," 41-1n",34,0.842010067704695,3.00856063028655,27.5339886830367,2.42031907738101
"1044"," 41-1n",35,0.808445339929408,3.60967496161708,25.4580444029699,2.61803768162368
"1045"," 41-1n",36,1.20653853941296,3.54308549379389,26.7310009345819,3.01185089059445
"1046"," 41-1n",37,0.878391685166637,3.7050870464976,30.5852125159674,2.84920909703641
"1047"," 41-1n",38,0.609174532001448,3.41678920386643,28.4490519776118,2.51998422366965
"1048"," 41-1n",39,0.837812284175209,2.63816397031218,25.3442231266353,2.32144672350698
"1049"," 41-1n",40,2.18278687579928,3.64586982678982,27.6624049169064,3.12141663643682
"1050"," 41-1n",41,1.11420852218897,3.30334878129116,27.4965077841731,2.32552071623068
"1051"," 41-1n",42,1.50700256907667,3.01837303882576,27.8387229048364,2.38895859159953
"1052"," 41-1n-1",34,1.40133643463442,2.54073929512701,29.5136094494805,2.75953258605086
"1053"," 41-1n-1",35,1.40241726980399,2.36299247860244,28.8477335531729,3.19506744437132
"1054"," 41-1n-2",34,1.35295581639868,3.29791238126125,29.4799733966251,2.84003081096046
"1055"," 41-1n-2",35,1.05655708151715,3.18875691463895,24.4762420209536,2.63254775737548
"1056"," 41-1n-2",36,0.83957226474631,2.68538356377521,28.8046765161836,2.63344322924789
"1057"," 41-1n-2",37,0.636375429176408,3.03937877692925,28.585006088236,2.46431724569133
"1058"," 41-1n-2",38,0.805952282975308,2.51946578596389,28.1597609150478,2.42444394692137
"1059"," 41-1n-2",39,0.860799952927219,3.02540089413531,28.9818191104398,1.84951570990352
"1060"," 41-1n-2",40,0.840852774558022,2.71331819489169,26.3699867813792,3.07505764407691
"1061"," 41-1n-2",41,1.60415143730531,2.97792585475349,26.5746059392523,2.53917029100923
"1062"," 41-1n-2",42,0.753522421163624,3.63809489750538,29.8593796847724,2.08661016999709
"1063"," 41-1n-2",43,1.07891790579485,2.7511721527266,31.1978326736717,2.85559658763252
"1064"," 41-1o",28,0.751229956598444,2.80728655651601,29.533952826786,2.36022004276967
"1065"," 41-1o",29,0.798569986392779,2.94975361977106,29.6537534894449,2.32417705258465
"1066"," 41-1o",30,0.755023310569701,2.3455301396283,24.9457188471383,2.56980647813998
"1067"," 41-1o",31,1.11065117585205,3.24753728656462,32.7819986800573,3.15796174167106
"1068"," 41-1o",32,1.21587463981165,3.77896657994942,28.2419798559909,2.80065131073009
"1069"," 41-1o",33,0.997854644242822,2.85299624978854,26.8341731407085,2.79156992346615
"1070"," 41-1o",34,1.42070989189284,3.14747860000253,29.8860523995661,3.29310328387574
"1071"," 41-1o",35,1.1993938038305,2.17087140325917,27.2054213477138,3.23963397865875
"1072"," 41-1o",36,0.73957643606338,2.85371280365325,31.9911644640297,2.22823495467374
"1073"," 41-1o",37,1.01092479919739,3.23444107673538,30.5565763499052,2.58018583127653
"1074"," 41-1o",38,0.986341284797209,3.46459715711357,28.3410012683935,1.71343906282934
"1075"," 41-1o",39,1.31779876208738,2.1364015162268,29.294781128395,2.74253472517108
"1076"," 41-1o-1",35,1.21025220485773,3.27378410581641,27.0631208089217,2.79189365757876
"1077"," 41-1o-1",36,1.45823956797452,3.01058158540924,29.8203191389559,3.04897838792395
"1078"," 41-1p",34,0.923644608363463,3.82292968771235,28.6031184223908,2.47045224298786
"1079"," 41-1p",35,0.57311706353824,2.51946249977001,28.4681809767489,2.5762908042475
"1080"," 41-1q",39,1.26314678670816,3.53975475645444,29.7756694714572,3.07401734963015
"1081"," 41-1q",40,0.994202498467353,3.26356854408181,27.1892147712502,2.69445124939421
"1082"," 41-1q",41,1.20996813906014,3.17311498252528,27.4668745266391,2.55436373193803
"1083"," 41-2",1,0.520085299350422,10.2990975051991,96.9883802625452,8.49676954576684
"1084"," 41-2",2,0.617014657226437,9.31574652764778,99.279335200325,9.51204987487815
"1085"," 41-2",3,0.541209128634547,9.79388392827702,101.743169271657,9.01078679930319
"1086"," 41-2",4,0.621675292629144,9.78193262861033,99.8239670819994,8.87813881772072
"1087"," 41-2",5,0.625463135525909,9.89367844898467,99.5900283152235,8.38921048470312
"1088"," 41-2",6,0.635157622652659,10.2394139566824,97.4253911545633,8.89614043147248
"1089"," 41-2",7,0.619714379747001,10.2035064611381,101.095931122804,8.68959201441893
"1090"," 41-2",8,0.565009037729192,9.94433363343928,100.282088480479,8.53635359326006
"1091"," 41-2",9,0.672584531730595,9.05909933417369,99.7793301502727,8.8811951626932
"1092"," 41-2",10,0.536224107979674,9.21894866584088,99.5274957151239,8.79479379198308
"1093"," 41-2",11,0.580507957499163,10.2769749245248,99.2884207604298,8.95500658611681
"1094"," 41-2",12,0.669727026646582,9.71264297500412,102.082137917029,9.06835543099161
"1095"," 41-2",13,0.711719049577505,9.6571458423385,100.304260669082,9.17916902847841
"1096"," 41-2",14,0.643267091341808,10.3492043646155,101.649590767776,8.66472752271036
"1097"," 41-2",15,0.664561771229726,10.4439992841436,99.3596026392544,8.71500323683044
"1098"," 41-2",16,0.750340513011893,9.64751389067668,95.8706944125634,8.96279814292399
"1099"," 41-2",17,0.734788649063773,9.66695165129709,99.4460196043088,8.98223632236341
"1100"," 41-2",18,0.776519059781184,10.4351112742265,97.598081537785,8.96592257663583
"1101"," 41-2",19,0.698042008983007,9.837021581427,101.491415547721,8.36686155311935
"1102"," 41-2",20,0.801216127212138,9.81148395200963,96.8806495559299,9.21303547916712
"1103"," 41-2",21,0.698771167745939,9.88798036414433,99.6089125074347,9.10171905906571
"1104"," 41-2",22,0.837411530210848,10.1076402002895,97.6707481860838,9.2189500794711
"1105"," 41-2",23,0.856333729944395,10.4882853902847,104.579250117781,8.88085366860762
"1106"," 41-2",24,0.946464895004633,10.5476095189719,99.3054866463131,9.01823331594015
"1107"," 41-2",25,0.817950226696264,9.97985318405208,98.1850139974377,9.13057091547776
"1108"," 41-2",26,0.926634422214195,11.1037418716019,105.260581889118,8.22619072360868
"1109"," 41-2",27,0.909539729161814,9.74063289937772,99.089930043621,9.3607866304803
"1110"," 41-2",28,1.07655186829066,10.1556250925396,100.230541012465,9.64259422301379
"1111"," 41-2",29,0.876514833379153,9.729376402527,102.169881095055,8.95959486148005
"1112"," 41-2",30,0.914376408255307,10.6000621678712,100.667738200343,8.65047248283771
"1113"," 41-2",31,1.08361617678833,10.5705495337035,97.5503381251622,9.15112546107316
"1114"," 41-2",32,0.922752232461264,10.4025251560573,100.122862910963,9.44941006286058
